,rank,target_name,name,dD,dP,dH,delta_d,delta_p,delta_h,distance,compatibility
0,1,Hydrocarbon Resin,"N,N-Dimethyl Acetamide",16.8,11.5,10.2,0.2,1.7,0.8,1.92,Excellent
1,2,Hydrocarbon Resin,Diacetone Alcohol,15.8,8.2,10.8,1.2,1.6,1.4,3.21,Excellent
2,3,Hydrocarbon Resin,Methylene Chloride,17,7.3,7.1,0,2.5,2.3,3.4,Excellent
3,4,Hydrocarbon Resin,Diethylene Glycol Monobutyl Ether,16,7,10.6,1,2.8,1.2,3.64,Excellent
4,5,Hydrocarbon Resin,"1,3-Dioxolane",18.1,6.6,9.3,1.1,3.2,0.1,3.88,Excellent
5,6,Hydrocarbon Resin,N-Methyl-2-Pyrrolidone (NMP),18,12.3,7.2,1,2.5,2.2,3.88,Excellent
6,7,Hydrocarbon Resin,Acetone,15.5,10.4,7,1.5,0.6,2.4,3.89,Excellent
7,8,Hydrocarbon Resin,Methyl Carbitol,16.2,7.8,12.6,0.8,2,3.2,4.1,Excellent
8,9,Hydrocarbon Resin,Tetrahydrofurfuryl Alcohol,17.8,8.2,12.9,0.8,1.6,3.5,4.17,Excellent
9,10,Hydrocarbon Resin,Dipropylene Glycol Mono n-Butyl Ether,15.7,6.5,10,1.3,3.3,0.6,4.24,Excellent
10,11,Hydrocarbon Resin,Ethyl Lactate,16,7.6,12.5,1,2.2,3.1,4.3,Excellent
11,12,Hydrocarbon Resin,Tetrahydrofuran (THF),16.8,5.7,8,0.2,4.1,1.4,4.35,Excellent
12,13,Hydrocarbon Resin,Methyl Acetate,15.5,7.2,7.6,1.5,2.6,1.8,4.36,Excellent
13,14,Hydrocarbon Resin,"N,N-Dimethyl Formamide (DMF)",17.4,13.7,11.3,0.4,3.9,1.9,4.41,Excellent
14,15,Hydrocarbon Resin,1-Nitropropane,16.6,12.3,5.5,0.4,2.5,3.9,4.7,Excellent
15,16,Hydrocarbon Resin,Isophorone,17,8,5,0,1.8,4.4,4.75,Excellent
16,17,Hydrocarbon Resin,Propylene Glycol Monoethyl Ether Acetate,15.6,6.3,7.7,1.4,3.5,1.7,4.79,Excellent
17,18,Hydrocarbon Resin,Cyclohexanone,17.8,8.4,5.1,0.8,1.4,4.3,4.8,Excellent
18,19,Hydrocarbon Resin,Methyl Ethyl Ketone (MEK),16,9,5.1,1,0.8,4.3,4.81,Excellent
19,20,Hydrocarbon Resin,Butyl Glycol Acetate,15.3,7.5,6.8,1.7,2.3,2.6,4.86,Excellent
20,21,Hydrocarbon Resin,Propylene Glycol Monomethyl Ether,15.6,6.3,11.6,1.4,3.5,2.2,4.99,Excellent
21,22,Hydrocarbon Resin,Propylene Glycol Phenyl Ether,17.4,5.3,11.5,0.4,4.5,2.1,5.03,Good
22,23,Hydrocarbon Resin,Propylene Glycol Monomethyl Ether Acetate,15.6,5.6,9.8,1.4,4.2,0.4,5.06,Good
23,24,Hydrocarbon Resin,Dipropylene Glycol Methyl Ether,15.5,5.7,11.2,1.5,4.1,1.8,5.39,Good
24,25,Hydrocarbon Resin,Ethyl Acetate,15.8,5.3,7.2,1.2,4.5,2.2,5.55,Good
25,26,Hydrocarbon Resin,Methyl Propyl Ketone,16,7.6,4.7,1,2.2,4.7,5.56,Good
26,27,Hydrocarbon Resin,Ethylene Glycol Monobutyl Ether,16,5.1,12.3,1,4.7,2.9,5.87,Good
27,28,Hydrocarbon Resin,n-Butyl Propionate,15.7,5.5,5.9,1.3,4.3,3.5,6.12,Good
